Employee_Wage_Id,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,Employee_Id
46283,80330.0,Year,II,95000.0,0.0,Year,54816
46284,122616.0,Year,IV,200000.0,0.0,Year,54817
46285,46160.0,Year,II,46160.0,0.0,Year,54818
46286,140920.0,Year,III,170000.0,0.0,Year,54819
46287,87859.0,Year,II,96000.0,0.0,Year,54820
46288,159994.0,Year,III,159994.0,220000.0,Year,54821
46289,130998.0,Year,IV,130998.0,180100.0,Year,54822
46290,125445.0,Year,IV,136000.0,0.0,Year,54823
46291,84781.0,Year,II,155000.0,0.0,Year,54824
46292,114483.0,Year,III,114483.0,138188.0,Year,54825
46293,57179.0,Year,I,57179.0,57179.01,Year,54826
46294,78520.0,Year,II,90000.0,0.0,Year,54827
46295,72218.0,Year,I,85000.0,0.0,Year,54828
46296,193731.0,Year,II,209000.0,0.0,Year,54829
46297,38.54,Hour,II,42.5,0.0,Hour,54830
46298,72322.0,Year,II,117500.0,0.0,Year,54831
46299,162510.0,Year,IV,227500.0,0.0,Year,54832
46300,56950.0,Year,III,60000.0,0.0,Year,54833
46301,84032.0,Year,III,170000.0,0.0,Year,54834
46302,133786.0,Year,IV,148470.0,275730.0,Year,54835
46303,98550.0,Year,II,98550.0,98551.0,Year,54836
46304,107805.0,Year,No Record,107805.0,130000.0,Year,54837
46305,101754.0,Year,II,160000.0,0.0,Year,54838
46306,130894.0,Year,II,151209.0,0.0,Year,54839
46307,157477.0,Year,III,165000.0,0.0,Year,54840
46308,101026.0,Year,III,176000.0,0.0,Year,54841
46309,76731.0,Year,III,76731.0,112400.0,Year,54842
46310,162510.0,Year,IV,203320.0,0.0,Year,54843
46311,77418.0,Year,II,77500.0,0.0,Year,54844
46312,130894.0,Year,II,151170.17,0.0,Year,54845
46313,127641.0,Year,No Record,127641.0,150426.58,Year,54846
46314,38958.0,Year,I,38958.0,0.0,Year,54847
46315,52.16,Hour,III,52.16,65.0,Hour,54848
46316,60362.0,Year,II,75110.0,0.0,Year,54849
46317,98550.0,Year,II,98550.0,98560.0,Year,54850
46318,115357.0,Year,II,125000.0,0.0,Year,54851
46319,142438.0,Year,III,142438.0,150000.0,Year,54852
46320,90750.0,Year,II,91000.0,0.0,Year,54853
46321,76856.0,Year,II,79560.0,84619.0,Year,54854
46322,145454.0,Year,IV,145454.0,0.0,Year,54855
46323,66470.0,Year,No Record,110000.0,0.0,Year,54856
46324,162510.0,Year,IV,233403.39,0.0,Year,54857
46325,60200.0,Year,I,69979.0,69980.0,Year,54858
46326,127504.0,Year,IV,152250.0,0.0,Year,54859
46327,100443.0,Year,II,135000.0,198000.0,Year,54860
46328,98550.0,Year,II,110500.0,0.0,Year,54861
46329,62442.0,Year,I,62442.0,0.0,Year,54862
46330,75816.0,Year,II,95000.0,0.0,Year,54863
46331,127088.0,Year,III,145000.0,0.0,Year,54864
46332,104042.0,Year,III,125000.0,0.0,Year,54865
46333,107931.0,Year,III,116000.0,126000.0,Year,54866
46334,69888.0,Year,II,74490.0,0.0,Year,54867
46335,140920.0,Year,III,169310.0,0.0,Year,54868
46336,16.53,Hour,II,27.4,0.0,Hour,54869
46337,102669.0,Year,IV,105000.0,0.0,Year,54870
46338,121472.0,Year,IV,125000.0,0.0,Year,54871
46339,76690.0,Year,II,76690.0,113300.0,Year,54872
46340,104021.0,Year,II,135000.0,0.0,Year,54873
46341,108826.0,Year,II,140000.0,0.0,Year,54874
46342,71573.0,Year,I,93400.0,0.0,Year,54875
46343,122616.0,Year,IV,145000.0,150000.0,Year,54876
46344,93725.0,Year,II,93725.0,105000.0,Year,54877
46345,116501.0,Year,IV,150000.0,0.0,Year,54878
46346,107931.0,Year,III,107931.0,0.0,Year,54879
46347,184080.0,Year,IV,211438.0,0.0,Year,54880
46348,114234.0,Year,IV,180000.0,190000.0,Year,54881
46349,56389.0,Year,I,56389.0,57000.0,Year,54882
46350,90750.0,Year,II,101160.0,0.0,Year,54883
46351,151882.0,Year,IV,200000.0,0.0,Year,54884
46352,101213.0,Year,IV,166500.0,0.0,Year,54885
46353,105040.0,Year,III,105040.0,120000.0,Year,54886
46354,49878.0,Year,I,58608.0,0.0,Year,54887
46355,100443.0,Year,II,127500.0,0.0,Year,54888
46356,145454.0,Year,IV,175000.0,0.0,Year,54889
46357,71968.0,Year,II,96192.0,0.0,Year,54890
46358,62920.0,Year,I,140000.0,0.0,Year,54891
46359,144726.0,Year,III,165000.0,0.0,Year,54892
46360,50.19,Hour,IV,54.0,0.0,Hour,54893
46361,108014.0,Year,IV,155000.0,0.0,Year,54894
46362,49480.0,Year,I,49480.0,0.0,Year,54895
46363,92851.0,Year,II,93000.0,0.0,Year,54896
46364,59.46,Hour,IV,77.0,82.0,Hour,54897
46365,157477.0,Year,III,167000.0,0.0,Year,54898
46366,102107.0,Year,II,102107.0,120000.0,Year,54899
46367,118893.0,Year,IV,143000.0,0.0,Year,54900
46368,141357.0,Year,IV,141357.0,152740.0,Year,54901
46369,167710.0,Year,IV,262000.0,0.0,Year,54902
46370,94806.0,Year,II,95000.0,0.0,Year,54903
46371,110822.0,Year,II,110822.0,153400.0,Year,54904
46372,85842.0,Year,II,85900.0,0.0,Year,54905
46373,45053.0,Year,I,45053.0,50500.0,Year,54906
46374,45.21,Hour,II,45.21,0.0,Hour,54907
46375,110448.0,Year,IV,120000.0,0.0,Year,54908
