Site_Id,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,Employee_Id
309,TEANECK,BERGEN,NJ,7666,10169
310,Westborough,WORCESTER CITY,MA,1581,10170
311,Trenton,MERCER,NJ,8619,10171
312,Richmond,HENRICO,VA,23238,10172
313,Seattle,KING,WA,98103,10173
314,Lawrence,DOUGLAS,KS,66047,10174
315,San Francisco,SAN FRANCISCO,CA,94103,10175
316,Scottsdale,MARICOPA,AZ,85255,10176
317,Newark ,ALAMEDA,CA,94560,10177
318,Vernon,LOS ANGELES,CA,90058,10178
319,Princeton,MERCER,NJ,8540,10179
320,Campbell,SANTA CLARA,CA,95008,10180
321,San Diego,SAN DIEGO,CA,92121,10181
322,Mayfield Heights,CUYAHOGA,OH,44124,10182
323,San Francisco,SAN FRANCISCO,CA,94107,10183
324,Raleigh,WAKE,NC,27617,10184
325,Centennial,ARAPAHOE,CO,80122,10185
326,Houston,HARRIS,TX,77002,10186
327,Sacramento,SACRAMENTO,CA,95835,10187
328,Atlanta,FULTON,GA,30324,10188
329,Lexington,LEXINGTON,MA,2421,10189
330,Sunnyvale,SANTA CLARA,CA,94086,10190
331,San Jose,SANTA CLARA,CA,95113,10191
332,Philadelphia,PHILADELPHIA,PA,19103,10192
333,NORFOLK,NORFOLK CITY,VA,23502,10193
334,Richmond,CONTRA COSTA,CA,94804,10194
335,Redmond,KING,WA,98052,10195
336,Sunnyvale  ,SANTA CLARA,CA,94086,10196
337,Minnetonka,HENNEPIN,MN,55434,10197
338,Mountain View,SANTA CLARA,CA,94043,10198
339,Menlo Park,SAN MATEO,CA,94025,10199
340,Dublin,FRANKLIN,OH,43017,10200
341,Seattle,KING,WA,98109,10201
342,Charlotte,MECKLENBURG,NC,28202,10202
343,South San Francisco,SAN MATEO,CA,94080,10203
344,Baton Rouge,EAST BATON ROUGE,LA,70803,10204
345,Dallas,DALLAS,TX,75201,10205
346,Redwood City,SAN MATEO,CA,64065,10206
347,Fremont,ALAMEDA,CA,94539,10207
348,Leander,WILLIAMSON,TX,78641,10208
349,MORRISVILLE,WAKE,NC,27560,10209
350,EAST WINDSOR,MERCER,NJ,8520,10210
351,DALLAS,DALLAS,TX,75243,10211
352,Alpharetta,FULTON,GA,30005,10212
353,Mechanicsburg ,CUMBERLAND,PA,17050,10213
354,Cary,WAKE,NC,27513,10214
355,Redmond,KING,WA,98052,10215
356,IRVINE,ORANGE,CA,92697,10216
357,Los Angeles,LOS ANGELES,CA,90064,10217
358,Austin,TRAVIS,TX,78758,10218
359,San Francisco,SAN FRANCISCO,CA,94105,10219
360,Santa Clara,SANTA CLARA,CA,95051,10220
361,Seattle,KING,WA,98121,10221
362,SANTA CLARA,SANTA CLARA,CA,95054,10222
363,Plano ,COLLIN,TX,75024,10223
364,Poughkeepsie,DUTCHESS,NY,12601,10224
365,Piedmont,GREENVILLE,SC,29673,10225
366,Nashville,DAVIDSON,TN,37203,10226
367,Nashville,DAVIDSON,TN,37201,10227
368,Alpharetta,FULTON,GA,30009,10228
369,Grand Rapids,KENT,MI,49544,10229
370,Collierville ,SHELBY,TN,38017,10230
371,College Station,BRAZOS,TX,77843,10231
372,Tulsa,TULSA,OK,74119,10232
373,Flushing,QUEENS,NY,11354,10233
374,Seattle,KING,WA,98121,10234
375,Fargo,CASS,ND,58104,10235
376,Columbus,BARTHOLOMEW,IN,47201,10236
377,Carlsbad,SAN DIEGO,CA,92008,10237
378,San Francisco,SAN FRANCISCO,CA,94111,10238
379,Eden Prarie,HENNEPIN,MN,55344,10239
380,EL SEGUNDO,LOS ANGELES,CA,90245,10240
381,Morrisville,WAKE,NC,27560,10241
382,Atlanta,FULTON,GA,30308,10242
383,Plano,COLLIN,TX,75024,10243
384,STUDIO CITY,LOS ANGELES,CA,91604,10244
385,BOULDER,BOULDER,CO,80301,10245
386,Salisbury,ROWAN,NC,28147,10246
387,BOSTON,BOSTON CITY,MA,2116,10247
388,St. Louis,ST LOUIS,MO,63114,10248
389,Kearny,HUDSON,NJ,7032,10249
390,Cary,WAKE,NC,27513,10250
391,ALPHARETTA,FULTON,GA,30005,10251
392,Tempe,MARICOPA,AZ,85284,10252
393,Englewood,ARAPAHOE,CO,80112,10253
394,CUMMING,FORSYTH,GA,30040,10254
395,Richfield,HENNEPIN,MN,55423,10255
396,Center Valley,LEHIGH,PA,18034,10256
397,Palo Alto,SANTA CLARA,CA,94304,10257
398,Seattle,KING,WA,98161,10258
399,Reston,FAIRFAX,VA,20191,10259
400,CARY,WAKE,NC,27519,10260
401,Memphis,SHELBY,TN,38125,10261
402,Herndon,FAIRFAX,VA,20170,10262
403,Flower Mound,DENTON,TX,75028,10263
404,FREMONT,ALAMEDA,CA,94538,10264
405,RENTON,KING,WA,98057,10265
406,Irvine,ORANGE,CA,92618,10266
407,Palo Alto ,SANTA CLARA,CA,94304,10267
408,ELGIN,KANE,IL,60124,10268
409,BURLINGTON,BURLINGTON,MA,1803,10269
410,Santa Clara,SANTA CLARA,CA,95051,10270
411,Atlanta,COBB,GA,30339,10271
412,Mountain View,SANTA CLARA,CA,94043,10272
413,Menlo Park,SAN MATEO,CA,94025,10273
414,WESTLAKE,DENTON,TX,76262,10274
415,Monument,EL PASO,CO,80132,10275
416,Frisco,DENTON,TX,75036,10276
417,SAN DIEGO,SAN DIEGO,CA,92127,10277
418,San Jose,SANTA CLARA,CA,95134,10278
419,San Ramon,CONTRA COSTA,CA,94583,10279
420,"Northbrook,",COOK,IL,60062,10280
421,Mountain View,SANTA CLARA,CA,94043,10281
422,Redmond,KING,WA,98052,10282
423,Fridley,ANOKA,MN,55432,10283
424,Lake Mary,SEMINOLE,FL,32746,10284
425,Arvada,JEFFERSON,CO,80004,10285
426,Anaheim,ORANGE,CA,92806,10286
427,Hoboken,HUDSON,NJ,7030,10287
428,Beaverton,WASHINGTON,OR,97005,10288
429,New  York,NEW YORK,NY,10014,10289
430,Chicago ,COOK,IL,60606,10290
431,Los Angeles,LOS ANGELES,CA,90059,10291
432,Farmington Hills,OAKLAND,MI,48335,10292
433,Seattle,KING,WA,98122,10293
434,San Francisco,SAN FRANCISCO,CA,94107,10294
435,Chicago,COOK,IL,60607,10295
436,East Hanover,MORRIS,NJ,7936,10296
437,Katy,FORT BEND,TX,77494,10297
438,SYLMAR ,LOS ANGELES,CA,91342,10298
439,Aurora,MARION,OR,97002,10299
440,Smithfield,SMITHFIELD,RI,2917,10300
441,Chicago,COOK,IL,60654,10301
442,Dallas,DALLAS,TX,75211,10302
443,Hazlet,MONMOUTH,NJ,7730,10303
444,Durham,DURHAM,NC,27709,10304
445,Brooklyn,KINGS,NY,11238,10305
446,Cambridge,CAMBRIDGE CITY,MA,2142,10306
447,Reston,FAIRFAX,VA,20191,10307
448,Colorado Springs,EL PASO,CO,80921,10308
449,Columbia,HOWARD,MD,21046,10309
450,Lenexa,JOHNSON,KS,66219,10310
451,Cold Spring Harbor,NASSAU,NY,11724,10311
452,Newark,NEW CASTLE,DE,19716,10312
453,PALM COAST,FLAGLER,FL,32164,10313
454,Alpharetta,FULTON,GA,30022,10314
455,Allen,COLLIN,TX,75013,10315
456,Phoenix,MARICOPA,AZ,85027,10316
457,Santa Clara,SANTA CLARA,CA,95054,10317
458,Colorado Springs,EL PASO,CO,80921,10318
459,Colorado Springs,EL PASO,CO,80919,10319
460,Dallas,DALLAS,TX,75243,10320
461,San Jose,SANTA CLARA,CA,95136,10321
462,Boston,BOSTON CITY,MA,2109,10322
463,Marlborough,MARLBOROUGH CITY,MA,1752,10323
464,Austin,TRAVIS,TX,78704,10324
465,Waltham,WALTHAM CITY,MA,2451,10325
466,Lewisville,DENTON,TX,75056,10326
467,Lenexa,JOHNSON,KS,66219,10327
468,San Jose,SANTA CLARA,CA,95134,10328
469,Philadelphia,PHILADELPHIA,PA,19146,10329
470,Allentown,LEHIGH,PA,18109,10330
471,Sunrise,BROWARD,FL,33351,10331
472,IRVING,DALLAS,TX,75038,10332
473,San Jose,SANTA CLARA,CA,95134,10333
474,COLUMBUS,FRANKLIN,OH,43214,10334
475,Oak Ridge,ROANE,TN,37831,10335
476,Weston,BROWARD,FL,33331,10336
477,Addison,DALLAS,TX,75001,10337
478,New York,NEW YORK,NY,10003,10338
479,Fairfield,JEFFERSON,IA,52556,10339
480,Chevy Chase,MONTGOMERY,MD,20815,10340
481,San Diego,SAN DIEGO,CA,92101,10341
482,Austin,TRAVIS,TX,78758,10342
483,Bellevue,KING,WA,98007,10343
484,Fremont,ALAMEDA,CA,94538,10344
485,Cumming,FORSYTH,GA,30041,10345
486,Detroit,WAYNE,MI,48208,10346
487,Seattle,KING,WA,98109,10347
488,Raleigh,WAKE,NC,27612,10348
489,Houston,HARRIS,TX,77042,10349
490,Farmington Hills,OAKLAND,MI,48331,10350
491,STUDIO CITY,LOS ANGELES,CA,91602,10351
492,NC ,DURHAM,NC,27709,10352
493,Arvin,KERN,CA,93203,10353
494,Herndon,FAIRFAX CITY,VA,20171,10354
495,KIRKLAND,KING,WA,98033,10355
496,Austin,TRAVIS,TX,78758,10356
497,Mason,WARREN,OH,45040,10357
498,Los Angeles ,LOS ANGELES,CA,90033,10358
499,Malvern,CHESTER,PA,19355,10359
500,PALO ALTO,SANTA CLARA,CA,94304,10360
501,Dallas,DALLAS,TX,75208,10361
502,Morrisville,WAKE,NC,27560,10362
503,Bellevue,KING,WA,98004,10363
504,Philadelphia,PHILADELPHIA,PA,19103,10364
505,Bellevue,KING,WA,98004,10365
506,Tampa,HILLSBOROUGH,FL,33617,10366
507,Denver,DENVER,CO,80222,10367
508,Chicago,COOK,IL,60606,10368
509,McLean,FAIRFAX,VA,22102,10369
510,RIVERSIDE,RIVERSIDE,CA,92506,10370
