Agent_Id,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,Employee_Id
46387,Yes,"Anderson, Kimberly",Arlington,VA,54238
46388,N,No Agent,NA,NA,54239
46389,Yes,"Robidoux, Kimberley",San Diego,CA,54240
46390,Yes,"FAURE WENGER, KARINE",SAN DIEGO,CA,54241
46391,N,No Agent,NA,NA,54242
46392,Yes,"Torriano, Jessica",Toronto,No Record,54243
46393,Yes,"REES, BRENT",ADDISON,TX,54244
46394,Yes,"Nalliah, Rajaguru",Irving,TX,54245
46395,Yes,"Little, Hannah",Charlotte,NC,54246
46396,Yes,"JONES, TOMMY",WASHINGTON,DC,54247
46397,N,No Agent,NA,NA,54248
46398,Yes,"Bindra, Kavita",Kendall Park,NJ,54249
46399,Yes,"Drumm, Larry",San Francisco ,CA,54250
46400,Yes,"Quashie, Derek",Toronto,No Record,54251
46401,Yes,"Trevino, Jaime",Richardson,TX,54252
46402,Yes,"Leibl, Geoffrey",San Diego,CA,54253
46403,N,No Agent,NA,NA,54254
46404,Yes,"Nichols, Susannah",Chicago,IL,54255
46405,N,No Agent,NA,NA,54256
46406,Yes,"Lopez, Francisco",Raleigh,NC,54257
46407,Yes,"Sanditen, Vicki",Richardson,TX,54258
46408,Yes,"CHUN-FRUTO, EILEEN",LOS ANGELES,CA,54259
46409,Yes,"Malakooti, Nobesh",Toronto,No Record,54260
46410,Yes,"McKee, Elizabeth",Atlanta,GA,54261
46411,Yes,"Westgard, Danielle",Richardson,TX,54262
46412,N,No Agent,NA,NA,54263
46413,N,No Agent,NA,NA,54264
46414,Yes,"Yarbrough, Cynthia",Atlanta,GA,54265
46415,Yes,"CAI, JINGMING",SAN JOSE,CA,54266
46416,Yes,"Schaham Gordon, Gali",San Francisco,CA,54267
46417,N,No Agent,NA,NA,54268
46418,Yes,"CHUN-FRUTO, EILEEN",LOS ANGELES,CA,54269
46419,Yes,"KHOL, KATHY",SAN FRANCISCO,CA,54270
46420,Yes,"Meyer, Brandon",SAN FRANCISCO,CA,54271
46421,N,No Agent,NA,NA,54272
46422,Yes,"Russo, Justin",Atlanta,GA,54273
46423,Yes,"Seo, Joo Young",Toronto,No Record,54274
46424,Yes,"Shapiro, Ronald",Northbrook,IL,54275
46425,N,No Agent,NA,NA,54276
46426,Yes,"Dziura, Meagan",Raleigh,NC,54277
46427,Yes,"SONG, ASHLEY",NEW YORK,NY,54278
46428,Yes,"Nakamura, Anne",San Francisco,CA,54279
46429,Yes,"Ullmann, Charles",Toronto,No Record,54280
46430,Yes,"SHANG, HONGWEI",MIAMI,FL,54281
46431,Yes,"Malik, Esq., Jitesh",Nanuet,NY,54282
46432,Yes,"Petrova, Violeta",New York,NY,54283
46433,Yes,"Capers, Marquita",Raleigh,NC,54284
46434,Yes,"MEHLMAN, SHARON",SAN DIEGO,CA,54285
46435,Yes,"Mozes, Gabriel",Boston,MA,54286
46436,Yes,"ROJAS, ALEXANDER",NEW YORK ,NY,54287
46437,Yes,"Hong, Stacy",New York,NY,54288
46438,Yes,"Tafapolsky, Alan",San Francisco,CA,54289
46439,Yes,"Quezada, Steven",Richardson,TX,54290
46440,Yes,"Cheng, Magaly",Boston,MA,54291
46441,Yes,"Eghbal , Aryanah ",Toronto,No Record,54292
46442,Yes,"Cauble, Ann",Greenville,SC,54293
46443,N,No Agent,NA,NA,54294
46444,Yes,"O'Neil, Megan",Troy,MI,54295
46445,N,No Agent,NA,NA,54296
46446,Yes,"Mead, Jerri ",Fort Wayne,IN,54297
46447,Yes,"Choi, Soo",Richardson,TX,54298
46448,N,No Agent,NA,NA,54299
46449,N,No Agent,NA,NA,54300
46450,Yes,"MEHTA, CYRUS",NEW YORK,NY,54301
46451,Yes,"Choi, Yuah",Philadelphia,PA,54302
46452,Yes,"Dinnen, Elizabeth",Boulder,CO,54303
46453,N,No Agent,NA,NA,54304
46454,Yes,"Hader, Stephen",Charlotte,NC,54305
46455,N,No Agent,NA,NA,54306
46456,Yes,"Nakamura, Anne",San Francisco,CA,54307
46457,Yes,"KHOL, KATHY",SAN FRANCISCO,CA,54308
46458,N,No Agent,NA,NA,54309
46459,Yes,"Pampanin, Alan",Cambridge,MA,54310
46460,Yes,"Choi, Soo",Richardson,TX,54311
46461,Yes,"Lee, Sang Hwa",Jersey City,NJ,54312
46462,N,No Agent,NA,NA,54313
46463,Yes,"Rosoklija, Gorjan",Arlington,VA,54314
46464,Yes,"Sein, Alexis",Richardson,TX,54315
46465,Yes,"Sathe, Mrudula",Toronto,No Record,54316
46466,Yes,"Sumner, Emily",Richmond ,VA,54317
46467,N,No Agent,NA,NA,54318
46468,Yes,"Sheppard, Donald",San Diego,CA,54319
46469,N,No Agent,NA,NA,54320
46470,Yes,"Mojica , Jenny ",Minneapolis ,MN,54321
46471,Yes,"Martiniez, Matthew",Phoenix,AZ,54322
46472,Yes,"CHOWDHURY, ANINDITA",BETHESDA,MD,54323
46473,Yes,"Chowdhury		, Anindita	",Bethesda ,MD,54324
46474,Yes,"Gao, Susan",FALLS CHURCH,VA,54325
46475,N,No Agent,NA,NA,54326
46476,Yes,"Lum, Rona",Auburn Hills,MI,54327
46477,Yes,"Jahn, Hannah",Phoenix,AZ,54328
46478,Yes,"Caden, Colleen ",New York,NY,54329
46479,Yes,"FAURE WENGER, KARINE",SAN DIEGO,CA,54330
46480,Yes,"Chi, Jessica ",Richardson,TX,54331
46481,N,No Agent,NA,NA,54332
46482,Yes,"Adams, Kenneth",Austin,TX,54333
46483,N,No Agent,NA,NA,54334
46484,Yes,"Tietjen, Rhonda",Boston,MA,54335
46485,Yes,"Jahn, Hannah",Phoenix,AZ,54336
46486,Yes,"Potts, Roderick",New York,NY,54337
46487,Yes,"Sivaraman , Heather",Carrboro,NC,54338
46488,Yes,"ALPHONSO, PETER",RICHARDSON ,TX,54339
46489,Yes,"Fu, Minnie",Reston,VA,54340
46490,Yes,"Chowdhury		, Anindita	",Bethesda	,MD,54341
46491,Yes,"Ishizuka, Yumiko",New York,NY,54342
46492,N,No Agent,NA,NA,54343
46493,N,No Agent,NA,NA,54344
46494,Yes,"Trevino, Jaime",Richardson,TX,54345
46495,N,No Agent,NA,NA,54346
46496,N,No Agent,NA,NA,54347
46497,Yes,"GANDHI, JESSICA",RICHARDSON,TX,54348
46498,N,No Agent,NA,NA,54349
46499,Yes,"Yamamoto, Kohei",Seattle,WA,54350
46500,Yes,"Ong, Melanie",San Francisco,CA,54351
46501,N,No Agent,NA,NA,54352
46502,Yes,"Vongsavanh, Kane",McLean,VA,54353
46503,Yes,"Green, Erin",Frisco,TX,54354
